Date,High,Low,Open,Close,Volume,Adj Close,Cash Rate Target
1992-11-22,1455.0,1455.0,1455.0,1455.0,0.0,1455.0,5.75
1992-11-23,1458.4000244140625,1458.4000244140625,1458.4000244140625,1458.4000244140625,0.0,1458.4000244140625,5.75
1992-11-24,1467.9000244140625,1467.9000244140625,1467.9000244140625,1467.9000244140625,0.0,1467.9000244140625,5.75
1992-11-25,1459.0,1459.0,1459.0,1459.0,0.0,1459.0,5.75
1992-11-26,1458.9000244140625,1458.9000244140625,1458.9000244140625,1458.9000244140625,0.0,1458.9000244140625,5.75
1992-11-29,1456.4000244140625,1456.4000244140625,1456.4000244140625,1456.4000244140625,0.0,1456.4000244140625,5.75
1992-11-30,1452.300048828125,1452.300048828125,1452.300048828125,1452.300048828125,0.0,1452.300048828125,5.75
1992-12-01,1446.800048828125,1446.800048828125,1446.800048828125,1446.800048828125,0.0,1446.800048828125,5.75
1992-12-02,1442.0999755859375,1442.0999755859375,1442.0999755859375,1442.0999755859375,0.0,1442.0999755859375,5.75
1992-12-03,1443.199951171875,1443.199951171875,1443.199951171875,1443.199951171875,0.0,1443.199951171875,5.75
1992-12-06,1454.300048828125,1454.300048828125,1454.300048828125,1454.300048828125,0.0,1454.300048828125,5.75
1992-12-07,1480.300048828125,1480.300048828125,1480.300048828125,1480.300048828125,0.0,1480.300048828125,5.75
1992-12-08,1494.9000244140625,1494.9000244140625,1494.9000244140625,1494.9000244140625,0.0,1494.9000244140625,5.75
1992-12-09,1515.0999755859375,1515.0999755859375,1515.0999755859375,1515.0999755859375,0.0,1515.0999755859375,5.75
1992-12-10,1513.300048828125,1513.300048828125,1513.300048828125,1513.300048828125,0.0,1513.300048828125,5.75
1992-12-13,1525.9000244140625,1525.9000244140625,1525.9000244140625,1525.9000244140625,0.0,1525.9000244140625,5.75
1992-12-14,1522.300048828125,1522.300048828125,1522.300048828125,1522.300048828125,0.0,1522.300048828125,5.75
1992-12-15,1508.5,1508.5,1508.5,1508.5,0.0,1508.5,5.75
1992-12-16,1512.0,1512.0,1512.0,1512.0,0.0,1512.0,5.75
1992-12-17,1529.4000244140625,1529.4000244140625,1529.4000244140625,1529.4000244140625,0.0,1529.4000244140625,5.75
1992-12-20,1551.699951171875,1551.699951171875,1551.699951171875,1551.699951171875,0.0,1551.699951171875,5.75
1992-12-21,1543.5,1543.5,1543.5,1543.5,0.0,1543.5,5.75
1992-12-22,1536.4000244140625,1536.4000244140625,1536.4000244140625,1536.4000244140625,0.0,1536.4000244140625,5.75
1992-12-23,1547.5999755859375,1547.5999755859375,1547.5999755859375,1547.5999755859375,0.0,1547.5999755859375,5.75
1992-12-28,1553.5,1553.5,1553.5,1553.5,0.0,1553.5,5.75
1992-12-29,1552.300048828125,1552.300048828125,1552.300048828125,1552.300048828125,0.0,1552.300048828125,5.75
